[01/50] d946ed2e76ea → GO         (1285.5ms)
[02/50] 987787fcc79c → DEFER      (1338.5ms)
[03/50] ab30e5805ca7 → NO-GO      (1280.2ms)
[04/50] c99b76674cb2 → NO-GO      (1242.0ms)
[05/50] d638e2b9f582 → NO-GO      (1219.9ms)
[06/50] 585c43be9fcf → GO         (1109.3ms)
[07/50] 2d84d0501238 → NO-GO      (1312.7ms)
[08/50] ad8a3e7c5a93 → NO-GO      (1238.1ms)
[09/50] 2dbe8e9437b4 → GO         (1603.9ms)
[10/50] 9985198ef357 → NO-GO      (944.1ms)
[11/50] 56b7fc6a6ee1 → NO-GO      (974.4ms)
[12/50] d2750c50b6f1 → NO-GO      (1241.2ms)
[13/50] 36c0982c430b → NO-GO      (13347.3ms)
[14/50] 6aa328b0b57f → NO-GO      (1012.4ms)
[15/50] 7272209e64d9 → NO-GO      (1282.9ms)
[16/50] 656a153aceee → NO-GO      (1237.2ms)
[17/50] 4055034191c6 → GO         (1130.8ms)
[18/50] a5ba54483e4b → DEFER      (921.0ms)
[19/50] ecd02ce733ad → DEFER      (1175.1ms)
[20/50] 550d9cbdc7d5 → GO         (1068.9ms)
[21/50] f0f0a2b8c105 → NO-GO      (1322.7ms)
[22/50] 5d4cc29f2c12 → GO         (2059.0ms)
[23/50] 90f6292f0602 → DEFER      (1188.3ms)
[24/50] eb93edb7cb43 → NO-GO      (1055.0ms)
[25/50] d2b2c5d28714 → NO-GO      (1140.0ms)
[26/50] c9345d718e22 → NO-GO      (10843.2ms)
[27/50] 5860893fe711 → DEFER      (1250.9ms)
[28/50] 8c0897c2d5b7 → GO         (1006.1ms)
[29/50] daf4c9e1f884 → GO         (1011.0ms)
[30/50] 481d92bdc98e → GO         (1040.5ms)
[31/50] c6ae6e9b4ee9 → DEFER      (1376.6ms)
[32/50] 319f60966fdf → GO         (1149.8ms)
[33/50] 5005dd3d69cb → NO-GO      (1053.0ms)
[34/50] d20eedd6270c → NO-GO      (1166.2ms)
[35/50] 5cdea26d5b23 → NO-GO      (1038.4ms)
[36/50] 2e5562bc13ee → DEFER      (1367.0ms)
[37/50] 2a9141ff535f → NO-GO      (947.4ms)
[38/50] 2db6beb7d80c → GO         (1280.6ms)
[39/50] 6a21feeeb9a0 → DEFER      (1310.1ms)
[40/50] 1976f6ed9841 → GO         (1328.4ms)
[41/50] 731c7994f32c → DEFER      (1054.8ms)
[42/50] ea1f797a5483 → GO         (1019.6ms)
[43/50] 4f940fc33ecf → NO-GO      (1307.2ms)
[44/50] a49485545999 → GO         (1028.4ms)
[45/50] 00678a034f6b → GO         (879.8ms)
[46/50] 262eb356d6c6 → GO         (1104.9ms)
[47/50] c11ece8da535 → NO-GO      (1001.5ms)
[48/50] 884db539f311 → GO         (1188.2ms)
[49/50] a7c821b1ceaf → DEFER      (1060.9ms)
[50/50] 05321a9d05e9 → GO         (1127.4ms)

Done: 50 ok, 0 errors → .context/spikes/T-1736-results.jsonl
