[01/50] d946ed2e76ea → GO         (15956.4ms)
[02/50] 987787fcc79c → NO-GO      (8444.2ms)
[03/50] ab30e5805ca7 → GO         (8990.5ms)
[04/50] c99b76674cb2 → GO         (7737.4ms)
[05/50] d638e2b9f582 → GO         (8859.2ms)
[06/50] 585c43be9fcf → GO         (10998.8ms)
[07/50] 2d84d0501238 → GO         (8181.5ms)
[08/50] ad8a3e7c5a93 → NO-GO      (8883.3ms)
[09/50] 2dbe8e9437b4 → GO         (7824.3ms)
[10/50] 9985198ef357 → NO-GO      (8846.8ms)
[11/50] 56b7fc6a6ee1 → NO-GO      (7986.5ms)
[12/50] d2750c50b6f1 → GO         (8278.4ms)
[13/50] 36c0982c430b → GO         (8506.9ms)
[14/50] 6aa328b0b57f → GO         (7715.6ms)
[15/50] 7272209e64d9 → GO         (8175.0ms)
[16/50] 656a153aceee → GO         (8201.4ms)
[17/50] 4055034191c6 → NO-GO      (10388.1ms)
[18/50] a5ba54483e4b → NO-GO      (18235.5ms)
[19/50] ecd02ce733ad → DEFER      (8829.5ms)
[20/50] 550d9cbdc7d5 → GO         (10623.4ms)
[21/50] f0f0a2b8c105 → GO         (7589.2ms)
[22/50] 5d4cc29f2c12 → NO-GO      (7577.7ms)
[23/50] 90f6292f0602 → NO-GO      (8339.0ms)
[24/50] eb93edb7cb43 → NO-GO      (7845.8ms)
[25/50] d2b2c5d28714 → NO-GO      (8149.1ms)
[26/50] c9345d718e22 → GO         (6990.2ms)
[27/50] 5860893fe711 → NO-GO      (10093.7ms)
[28/50] 8c0897c2d5b7 → NO-GO      (9303.1ms)
[29/50] daf4c9e1f884 → GO         (8252.9ms)
[30/50] 481d92bdc98e → GO         (9146.3ms)
[31/50] c6ae6e9b4ee9 → NO-GO      (9065.1ms)
[32/50] 319f60966fdf → GO         (9864.5ms)
[33/50] 5005dd3d69cb → NO-GO      (14211.1ms)
[34/50] d20eedd6270c → NO-GO      (9717.9ms)
[35/50] 5cdea26d5b23 → GO         (8920.4ms)
[36/50] 2e5562bc13ee → NO-GO      (6348.9ms)
[37/50] 2a9141ff535f → DEFER      (6755.8ms)
[38/50] 2db6beb7d80c → GO         (10359.7ms)
[39/50] 6a21feeeb9a0 → GO         (12024.7ms)
[40/50] 1976f6ed9841 → GO         (12178.2ms)
[41/50] 731c7994f32c → GO         (9435.8ms)
[42/50] ea1f797a5483 → NO-GO      (11711.6ms)
[43/50] 4f940fc33ecf → GO         (7458.2ms)
[44/50] a49485545999 → GO         (8622.8ms)
[45/50] 00678a034f6b → DEFER      (9854.9ms)
[46/50] 262eb356d6c6 → NO-GO      (14218.0ms)
[47/50] c11ece8da535 → NO-GO      (7551.3ms)
[48/50] 884db539f311 → GO         (10158.7ms)
[49/50] a7c821b1ceaf → GO         (7634.9ms)
[50/50] 05321a9d05e9 → GO         (10322.4ms)

Done: 50 ok, 0 errors → .context/spikes/T-1741-gemma4-results.jsonl
