[01/50] d946ed2e76ea → GO         (10022.7ms)
[02/50] 987787fcc79c → DEFER      (21887.0ms)
[03/50] ab30e5805ca7 → GO         (14061.6ms)
[04/50] c99b76674cb2 → GO         (12131.3ms)
[05/50] d638e2b9f582 → GO         (26736.7ms)
[06/50] 585c43be9fcf → GO         (13130.2ms)
[07/50] 2d84d0501238 → GO         (21592.8ms)
[08/50] ad8a3e7c5a93 → NO-GO      (16706.1ms)
[09/50] 2dbe8e9437b4 → GO         (11397.3ms)
[10/50] 9985198ef357 → DEFER      (47187.9ms)
[11/50] 56b7fc6a6ee1 → NO-GO      (12780.2ms)
[12/50] d2750c50b6f1 → GO         (24349.9ms)
[13/50] 36c0982c430b → GO         (19430.2ms)
[14/50] 6aa328b0b57f → GO         (11981.9ms)
[15/50] 7272209e64d9 → GO         (10549.3ms)
[16/50] 656a153aceee → GO         (13257.4ms)
[17/50] 4055034191c6 → NO-GO      (14981.9ms)
[18/50] a5ba54483e4b → DEFER      (19586.4ms)
[19/50] ecd02ce733ad → DEFER      (18418.4ms)
[20/50] 550d9cbdc7d5 → GO         (14358.9ms)
[21/50] f0f0a2b8c105 → GO         (9335.1ms)
[22/50] 5d4cc29f2c12 → DEFER      (29305.6ms)
[23/50] 90f6292f0602 → NO-GO      (10079.5ms)
[24/50] eb93edb7cb43 → NO-GO      (21732.4ms)
[25/50] d2b2c5d28714 → NO-GO      (10929.2ms)
[26/50] c9345d718e22 → GO         (9262.6ms)
[27/50] 5860893fe711 → NO-GO      (12996.1ms)
[28/50] 8c0897c2d5b7 → GO         (17147.5ms)
[29/50] daf4c9e1f884 → NO-GO      (25362.8ms)
[30/50] 481d92bdc98e → GO         (16746.9ms)
[31/50] c6ae6e9b4ee9 → NO-GO      (38904.6ms)
[32/50] 319f60966fdf → GO         (22324.4ms)
[33/50] 5005dd3d69cb → DEFER      (14232.5ms)
[34/50] d20eedd6270c → NO-GO      (30674.2ms)
[35/50] 5cdea26d5b23 → NO-GO      (12344.3ms)
[36/50] 2e5562bc13ee → NO-GO      (9823.1ms)
[37/50] 2a9141ff535f → DEFER      (7513.1ms)
[38/50] 2db6beb7d80c → GO         (12024.7ms)
[39/50] 6a21feeeb9a0 → GO         (18027.9ms)
[40/50] 1976f6ed9841 → GO         (11846.9ms)
[41/50] 731c7994f32c → GO         (28014.6ms)
[42/50] ea1f797a5483 → DEFER      (34212.9ms)
[43/50] 4f940fc33ecf → GO         (10582.9ms)
[44/50] a49485545999 → GO         (11946.6ms)
[45/50] 00678a034f6b → DEFER      (17972.2ms)
[46/50] 262eb356d6c6 → GO         (12657.6ms)
[47/50] c11ece8da535 → DEFER      (54072.5ms)
[48/50] 884db539f311 → DEFER      (55694.4ms)
[49/50] a7c821b1ceaf → DEFER      (22812.9ms)
[50/50] 05321a9d05e9 → GO         (19695.0ms)

Done: 50 ok, 0 errors → .context/spikes/T-1741-qwen3-results.jsonl
