[2026-04-03T22:02:47Z] CRASH: check-active-task exit=1
2026-05-01T07:17:49Z missing-hook nonexistent-hook-name script=/opt/999-Agentic-Engineering-Framework/agents/context/nonexistent-hook-name.sh
2026-08-02T11:59:22Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-04T23:25:41Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T00:32:36Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T01:16:27Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T01:33:32Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T02:27:27Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T03:33:00Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T03:33:55Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T05:29:37Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T09:32:37Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T10:33:47Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
2026-08-05T11:29:02Z missing-hook bogus-hook-name-for-T1628 script=/opt/999-Agentic-Engineering-Framework/agents/context/bogus-hook-name-for-T1628.sh
