FW_SECRET_KEY not set — using file key at PROJECT_ROOT/.context/working/.fw-secret-key. Set FW_SECRET_KEY for production deployment.
Werkzeug appears to be used in a production deployment. Consider switching to a production web server instead.
Watchtower running at http://0.0.0.0:3000
  Project root: /opt/999-Agentic-Engineering-Framework
  Framework:    /opt/999-Agentic-Engineering-Framework

 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:3000
 * Running on http://192.168.10.107:3000
Press CTRL+C to quit
192.168.10.107 - - [19/Aug/2026 22:06:55] "GET /config HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:06:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:06:59] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:26] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:26] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:27] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:28] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:29] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:30] "GET /api/_identity HTTP/1.1" 200 -
127.0.0.1 - - [19/Aug/2026 22:07:30] "GET /api/_identity HTTP/1.1" 200 -
192.168.10.107 - - [19/Aug/2026 22:07:30] "GET /api/_identity HTTP/1.1" 200 -
